Song Name,Movie Name,Year,Artists,Overview,Mood,Genre,Crew
"Kutty Story","Master",2021,"[Vijay, Anirudh Ravichander]","A fun, motivational song about living life without stress.",Motivational,Pop,"[Anirudh Ravichander, Lokesh Kanagaraj]"
"Chellamma","Doctor",2021,"[Anirudh Ravichander, Jonita Gandhi]","A peppy love song with a catchy beat and humorous lyrics.",Fun,Pop,"[Anirudh Ravichander, Nelson Dilipkumar]"
"Vaathi Coming","Master",2021,"[Anirudh Ravichander, Gana Balachandar]","A high-energy folk-pop fusion that became a viral dance hit.",Energetic,Folk,"[Anirudh Ravichander, Lokesh Kanagaraj]"
"Rakita Rakita","Jagame Thandhiram",2021,"[Dhanush, Santhosh Narayanan]","A vibrant, celebratory song with upbeat rhythms.",Energetic,Folk,"[Santhosh Narayanan, Karthik Subbaraj]"
"So Baby","Doctor",2021,"[Anirudh Ravichander, Ananthakrrishnan]","A fun, playful song with electronic beats.",Fun,Pop,"[Anirudh Ravichander, Nelson Dilipkumar]"
"Oru Manam","Dhruva Natchathiram",2021,"[Karthik, Chinmayi]","A romantic song expressing deep emotional connection.",Romantic,Melody,"[Harris Jayaraj, Gautham Menon]"
"Polakatum Para Para","Sulthan",2021,"[Vivek-Mervin, Silambarasan TR]","A folk-based energetic track celebrating rural traditions.",Energetic,Folk,"[Vivek-Mervin, Bakkiyaraj Kannan]"
"Meherezylaa","Maanaadu",2021,"[Yuvan Shankar Raja, Rizwan]","A trendy, upbeat track with a touch of retro vibes.",Fun,Pop,"[Yuvan Shankar Raja, Venkat Prabhu]"
"Jalabulajangu","Don",2022,"[Anirudh Ravichander]","A fun song with catchy beats celebrating youthful spirit.",Fun,Pop,"[Anirudh Ravichander, Cibi Chakaravarthi]"
"Adiye","Bachelor",2021,"[Dhibu Ninan Thomas]","A mellow, soulful song about intense love and longing.",Romantic,Melody,"[Dhibu Ninan Thomas, Sathish Selvakumar]"
"Pathala Pathala","Vikram",2022,"[Kamal Haasan, Anirudh Ravichander]","A foot-tapping, energetic folk song with witty lyrics.",Energetic,Folk,"[Anirudh Ravichander, Lokesh Kanagaraj]"
