Song Name,Movie Name,Year,Artists,Overview,Mood,Genre,Crew
"Un Perai Sollum","Angadi Theru",2010,"[Haricharan, Shreya Ghoshal]","A soul-stirring melody about the yearning and longing for a loved one.",Romantic,Melody,"[Vijay Antony, Vasanthabalan]"
"Ayyayo","Paruthiveeran",2007,"[Karthik, Vijay Yesudas]","A song that expresses the heartache and pain of separation.",Melancholic,Folk,"[Yuvan Shankar Raja, Ameer]"
"Ennamo Yeadho","Ko",2011,"[Aalaap Raju]","A peppy and light-hearted track reflecting on the confusion of love.",Fun,Pop,"[Harris Jayaraj, K. V. Anand]"
"Mundhinam Parthene","Vaaranam Aayiram",2008,"[Naresh Iyer]","A breezy romantic track about the excitement of first love.",Romantic,Melody,"[Harris Jayaraj, Gautham Menon]"
"Oru Devadhai","Vaamanan",2009,"[Roopkumar Rathod]","A soulful song about admiration for someone with angelic qualities.",Romantic,Melody,"[Yuvan Shankar Raja, Ahmed]"
"Nenjukkul Peidhidum","Vaaranam Aayiram",2008,"[Hariharan, Devan Ekambaram]","A soothing romantic track about the deep emotions of love.",Romantic,Melody,"[Harris Jayaraj, Gautham Menon]"
"Adiye Kolluthey","Vaaranam Aayiram",2008,"[Krish, Benny Dayal, Shruti Haasan]","A high-energy track that expresses the intensity of love and passion.",Energetic,Pop,"[Harris Jayaraj, Gautham Menon]"
"Pookal Pookum","Madrasapattinam",2010,"[Harini, Roopkumar Rathod]","A melodious song that reflects the blossoming of love in a historical setting.",Romantic,Melody,"[G. V. Prakash Kumar, Vijay]"
"Hasili Fisiliye","Aadhavan",2009,"[Karthik, Harini]","A fun and peppy song filled with flirtation and energy.",Fun,Pop,"[Harris Jayaraj, K. S. Ravikumar]"
"Annul Maelae","Vaaranam Aayiram",2008,"[Sudha Raghunathan]","A classical-infused romantic melody, filled with love and devotion.",Romantic,Classical,"[Harris Jayaraj, Gautham Menon]"
"Kangal Irandal","Subramaniapuram",2008,"[Bellan, Deepa Mariam]","A soft romantic song that became a huge sensation for its simplicity.",Romantic,Folk,"[James Vasanthan, Sasikumar]"
"Vizhiyil Vizhuntha","Ayan",2009,"[Harish Raghavendra, Harini]","A beautiful romantic track about falling in love at first sight.",Romantic,Pop,"[Harris Jayaraj, K. V. Anand]"
"Sutrum Vizhi","Ghajini",2005,"[Sadhana Sargam]","A song celebrating the beauty of a lover's eyes.",Romantic,Melody,"[Harris Jayaraj, A. R. Murugadoss]"
"Unakkul Naane","Pachaikili Muthucharam",2007,"[Bombay Jayashree]","A melancholic track reflecting the pain of a troubled relationship.",Sad,Melody,"[Harris Jayaraj, Gautham Menon]"
"Mundhinam Parthene","Vaaranam Aayiram",2008,"[Naresh Iyer]","A romantic track that captures the excitement of a first love encounter.",Romantic,Pop,"[Harris Jayaraj, Gautham Menon]"
"Naan Varuven","Raavanan",2010,"[A. R. Rahman]","A mysterious and intense song depicting inner struggles and destiny.",Melancholic,Soundtrack,"[A. R. Rahman, Mani Ratnam]"
"Aariro Aarariro","Deiva Thirumagal",2011,"[Haricharan]","A heartwarming lullaby depicting a father’s love for his child.",Calm,Melody,"[G. V. Prakash Kumar, Vijay]"
"Oru Kal Oru Kannadi","Siva Manasula Sakthi",2009,"[Yuvan Shankar Raja]","A fun and carefree song about love and relationships.",Fun,Folk,"[Yuvan Shankar Raja, Rajesh]"
"Engeyum Kadhal","Lesa Lesa",2008,"[Bombay Jayashree]","A hauntingly beautiful song about lost love and longing.",Romantic,Melody,"[Harris Jayaraj, Priyadarshan]"
"Yedho Ondru","Paiyaa",2010,"[Karthik]","A feel-good romantic song about the thrill of new love.",Romantic,Pop,"[Yuvan Shankar Raja, N. Lingusamy]"
"Vizhi Moodi","Ayan",2009,"[Karthik, Bombay Jayashree]","A beautiful duet expressing the feeling of being deeply in love.",Romantic,Melody,"[Harris Jayaraj, K. V. Anand]"
"Vaazhkaiye Vesham","Pudhupettai",2006,"[Dhanush]","A reflective song about life and its challenges, set in the underworld.",Melancholic,Folk,"[Yuvan Shankar Raja, Selvaraghavan]"
"Oru Maalai","Ghajini",2005,"[Karthik]","A melodious and romantic track about waiting in anticipation for a loved one.",Romantic,Melody,"[Harris Jayaraj, A. R. Murugadoss]"
"Aathi Chudi","Naadodigal",2009,"[Karthik, Harini]","A folk-inspired track that conveys the vibrancy and energy of village life.",Energetic,Folk,"[Sundar C. Babu, Samuthirakani]"
"Unakkul Naane","Pachaikili Muthucharam",2007,"[Bombay Jayashree]","A melancholic and heartwrenching song about emotional turmoil.",Melancholic,Folk,"[Harris Jayaraj, Gautham Menon]"
"Nenjukkul Peidhidum","Vaaranam Aayiram",2008,"[Hariharan, Devan Ekambaram]","A soulful romantic track about the deep emotional connection between lovers.",Romantic,Melody,"[Harris Jayaraj, Gautham Menon]"
"Adiye Kolluthey","Vaaranam Aayiram",2008,"[Krish, Benny Dayal, Shruti Haasan]","An energetic song expressing the overwhelming power of love.",Energetic,Pop,"[Harris Jayaraj, Gautham Menon]"
"Kangal Irandal","Subramaniapuram",2008,"[Bellan, Deepa Mariam]","A soft romantic track filled with raw emotions.",Romantic,Folk,"[James Vasanthan, Sasikumar]"
"Oru Chinnam","Vettaiyaadu Vilaiyaadu",2006,"[Haris Raghavendra]","A romantic song set against the backdrop of a police officer's life.",Romantic,Soundtrack,"[Harris Jayaraj, Gautham Menon]"
"Akkam Pakkam","Kireedam",2007,"[Sadhana Sargam]","A melodious song about the beauty of a couple's relationship.",Romantic,Melody,"[G. V. Prakash Kumar, Vijay]"
"Yaaradi Nee Mohini","Yaaradi Nee Mohini",2008,"[Hariharan, Sadhana Sargam]","A romantic track that is a playful ode to the woman who stole his heart.",Romantic,Folk,"[Yuvan Shankar Raja, Mithran Jawahar]"
"Kadhal Valarthen","Manmadhan",2005,"[Yuvan Shankar Raja]","A melancholic track about the pain and struggle of unrequited love.",Sad,Folk,"[Yuvan Shankar Raja, Silambarasan]"
"Vaseegara","Minnale",2005,"[Bombay Jayashree]","A soft romantic song that has become an anthem of love.",Romantic,Melody,"[Harris Jayaraj, Gautham Menon]"
"June Ponaal","Unnale Unnale",2007,"[Krishna, Haricharan]","A breezy love song narrating the freshness of a new relationship.",Romantic,Pop,"[Harris Jayaraj, Jeeva]"
"Poovukkul","Sivaji",2007,"[Hariharan, Chinmayi]","A song that praises the beauty of the heroine.",Romantic,Folk,"[A. R. Rahman, Shankar]"
"Manjal Veyil","Vettaiyaadu Vilaiyaadu",2006,"[Hariharan, Vijay Yesudas]","A romantic number filled with heartfelt emotions.",Romantic,Melody,"[Harris Jayaraj, Gautham Menon]"
"Unn Perai Sollum","Angadi Theru",2010,"[Haricharan, Shreya Ghoshal]","A soul-stirring melody about the yearning and longing for a loved one.",Romantic,Melody,"[Vijay Antony, Vasanthabalan]"
"Enna Idhu","Nala Damayanthi",2003,"[Unni Menon, Mahalakshmi Iyer]","A soft, melodious track about a budding romance.",Romantic,Folk,"[Ramesh Vinayakam, Mouli]"
