Song Name,Movie Name,Year,Artists,Overview,Mood,Genre,Crew
"Why This Kolaveri Di","3",2012,"[Dhanush, Anirudh Ravichander]","A humorous song expressing the frustration of love failure.",Fun,Pop,"[Anirudh Ravichander, Aishwarya R. Dhanush]"
"Vaaya Moodi Summa Iruda","Mugamoodi",2012,"[Aalaap Raju, Chinmayi]","A fun and playful track that reflects on carefree moments.",Fun,Pop,"[K, Mysskin]"
"Elay Keechan","Kadal",2013,"[A. R. Rahman, Abhay Jodhpurkar]","A breezy, adventurous track about the joy of fishing and life near the sea.",Happy,Folk,"[A. R. Rahman, Mani Ratnam]"
"Anbin Vaasale","Kochadaiiyaan",2014,"[Haricharan]","An emotional song about seeking solace and divine love.",Melancholic,Classical,"[A. R. Rahman, Soundarya Rajinikanth]"
"Po Indru Neeyaga","VIP",2014,"[Anirudh Ravichander]","A soulful track about the beauty of love and togetherness.",Romantic,Melody,"[Anirudh Ravichander, Velraj]"
"Oodhungada Sangu","VIP",2014,"[Anirudh Ravichander, Velmurugan]","A high-energy song about breaking free from challenges.",Energetic,Pop,"[Anirudh Ravichander, Velraj]"
"Kannaana Kanne","Naanum Rowdy Dhaan",2015,"[Sid Sriram]","A melodious track reflecting the feelings of love and admiration.",Romantic,Melody,"[Anirudh Ravichander, Vignesh Shivan]"
"Aathi","Kaththi",2014,"[Vijay, Anirudh Ravichander]","A romantic song with a modern vibe celebrating love.",Romantic,Pop,"[Anirudh Ravichander, A. R. Murugadoss]"
"Ennodu Nee Irundhaal","I",2015,"[Sid Sriram, Sunitha Sarathy]","A powerful romantic ballad about staying together against all odds.",Romantic,Melody,"[A. R. Rahman, Shankar]"
"Pookkale Satru Oyivedungal","I",2015,"[Haricharan, Shreya Ghoshal]","A soul-stirring romantic number reflecting deep love and affection.",Romantic,Melody,"[A. R. Rahman, Shankar]"
"Selfie Pulla","Kaththi",2014,"[Vijay, Sunidhi Chauhan]","A fun, upbeat track filled with energy and modern beats.",Fun,Pop,"[Anirudh Ravichander, A. R. Murugadoss]"
"Unakkenna Venum Sollu","Yennai Arindhaal",2015,"[Benny Dayal, Mahathi]","A soothing track about the search for love and peace.",Romantic,Melody,"[Harris Jayaraj, Gautham Menon]"
"Mersalaayitten","I",2015,"[Anirudh Ravichander, Neeti Mohan]","A peppy and lively song filled with playful energy.",Fun,Pop,"[A. R. Rahman, Shankar]"
"Usure Pogudhey","Raavanan",2010,"[Karthik]","A melancholic track reflecting the internal struggle of a complex relationship.",Sad,Folk,"[A. R. Rahman, Mani Ratnam]"
"Azhagiye","Kaatru Veliyidai",2015,"[Arjun Chandy, Haricharan]","A romantic track expressing the excitement of love in scenic settings.",Romantic,Melody,"[A. R. Rahman, Mani Ratnam]"
"Danga Maari Oodhari","Anegan",2015,"[Dhanush, Marana Gana Viji]","A fun and energetic track filled with local flavor and street-style beats.",Energetic,Folk,"[Harris Jayaraj, K. V. Anand]"
"Nee Sonna","Vaalu",2015,"[Silambarasan]","A light-hearted romantic song about wooing a loved one.",Fun,Pop,"[S. Thaman, Vijay Chander]"
